FrameID	CellID	Guess_Center_x	Guess_Center_y	Guess_Eccentric_x	Guess_Eccentric_y	Guess_Width	Guess_Area	Center_x	Center_y	Eccentric_x	Eccentric_y	Width	Area	EdgeDistance_Radius	EdgeDistance_Error	Density_In_Ellipse	Contour_pixels	Ramanujan	Red_Intensity_LogFold_Error	Red_Green_Correlation	Cell_type	MassCenter_x	MassCenter_y	MassCenter_center_dist	budneck_x	budneck_y	budneck_center_dist	Rel_Cell_major	Rel_Cell_area	Rel_Cell_dist	Rel_EdgeDistance_Error	Rel_Density_In_Ellipse	Rel_contour_pixels	Ramanujan	Rel_Red_Intensity_LogFold_Error	Cell_prob_log_factor	Cell_error	Cell_prob	Relation_prob_log_factor	Relation_error	Relation_prob	Rel_Cell_ID	Red_MEAN	Red_STDV	Red_SKEW	Red_KURT	Green_MEAN	Green_STDV	Green_SKEW	Green_KURT	G_SELF_DST_MEAN	G_SELF_DST_STDV	G_SELF_DST_SKEW	G_SELF_DST_KURT	G_MASC_DST_MEAN	G_MASC_DST_STDV	G_MASC_DST_SKEW	G_MASC_DST_KURT	G_EDGE_DST_MEAN	G_EDGE_DST_STDV	G_EDGE_DST_SKEW	G_EDGE_DST_KURT	G_CENT_DST_MEAN	G_CENT_DST_STDV	G_CENT_DST_SKEW	G_CENT_DST_KURT	G_BUDN_DST_MEAN	G_BUDN_DST_STDV	G_BUDN_DST_SKEW	G_BUDN_DST_KURT	Intensity_MEAN	Intensity_STDV	Intensity_SKEW	Intensity_KURT	N_SELF_DST_MEAN	N_SELF_DST_STDV	N_SELF_DST_SKEW	N_SELF_DST_KURT	N_MASC_DST_MEAN	N_MASC_DST_STDV	N_MASC_DST_SKEW	N_MASC_DST_KURT	N_EDGE_DST_MEAN	N_EDGE_DST_STDV	N_EDGE_DST_SKEW	N_EDGE_DST_KURT	N_CENT_DST_MEAN	N_CENT_DST_STDV	N_CENT_DST_SKEW	N_CENT_DST_KURT	N_BUDN_DST_MEAN	N_BUDN_DST_STDV	N_BUDN_DST_SKEW	N_BUDN_DST_KURT	NR_SELF_DST_MEAN	NR_SELF_DST_STDV	NR_SELF_DST_SKEW	NR_SELF_DST_KURT	NR_MASC_DST_MEAN	NR_MASC_DST_STDV	NR_MASC_DST_SKEW	NR_MASC_DST_KURT
0	11	482.772260	104.326283	7.738512	-4.796518	44.447928	1415.465861	482.212634	103.875430	8.597151	-3.322041	45.704627	1494.470287	22.206237	0.002016	0.995467	128	0.930537	0.222766	0.680197	m	481.943193	100.278187	3.607319	498.279661	89.855932	21.323594	33.229701	753.813466	15.686783	0.006081	0.971551	99	1.000284	0.037555	-6.505364	-0.560435	0.987796	-6.973871	-1.511034	0.951413	18	36.113615	15.550404	-0.252379	1.933663	45.106612	42.444665	1.811713	5.268722	15.659556	8.268695	0.417581	2.535336	11.211688	5.579760	0.314660	2.308656	9.934524	4.700936	-0.029741	2.239320	12.079868	4.890410	0.052748	2.296937	21.116197	9.301360	0.097636	2.385386	36.098924	33.968562	1.811713	5.268722	-0.082918	-0.011845	0.109890	0.113320	-0.138706	0.055773	0.387259	-0.020830	0.065241	0.002434	-0.299300	-0.048656	-0.059355	0.003318	0.334696	-0.070482	-0.086720	-0.032314	0.153943	0.263478	-0.108190	-0.008282	0.184675	0.158140	-inf	nan	nan	nan
0	12	446.580812	78.527302	11.581654	-3.139722	45.879589	1408.991527	446.705043	78.439209	11.721912	-3.074533	47.947505	1555.513937	22.879456	0.002572	0.998446	134	0.953798	0.642572	0.708382	c	445.070827	74.450540	4.310469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	-6.690003	-3.036503	0.849795	0.000000	0.000000	0.000000	-1	55.399305	33.774830	0.217008	1.867921	44.915168	34.086991	1.820685	6.363817	17.175500	8.623774	0.267241	2.354748	12.590396	5.117813	0.230050	2.640460	9.190941	4.548854	0.375824	2.537398	13.493202	4.606375	-0.332027	2.704188	nan	nan	nan	nan	23.622587	17.927639	1.820685	6.363817	-0.002995	0.022407	-0.006033	-0.049368	0.002893	-0.016479	0.219464	0.281966	-0.094104	0.011077	0.158656	0.152322	0.051890	-0.009582	-0.107595	0.211652	nan	nan	nan	nan	0.005606	0.035286	0.012640	-0.030033	-inf	nan	nan	nan
0	13	552.837555	57.765230	-15.780293	-5.717025	58.141416	2167.781279	553.461016	61.261457	24.075678	-1.651190	64.737822	2021.151126	25.210879	0.039750	0.921332	193	1.127574	0.091080	0.674965	a	553.108288	57.392799	3.884705	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	-7.298098	-9.049941	0.007476	0.000000	0.000000	0.000000	-1	32.658999	16.947219	0.488411	2.389901	43.988091	52.333556	3.039114	12.283236	20.634275	12.059232	0.412918	2.400666	14.926313	7.929645	0.318263	2.022999	8.828472	4.533659	0.159738	2.253448	15.711259	7.342387	0.369963	2.337063	nan	nan	nan	nan	40.158712	47.777663	3.039114	12.283236	-0.016562	0.063029	-0.032485	-0.200791	-0.070245	0.066493	0.287253	-0.145037	0.002789	-0.007529	-0.055543	-0.026848	-0.013527	0.011189	0.258759	-0.035703	nan	nan	nan	nan	-0.051599	0.047787	-0.087334	-0.288717	-inf	nan	nan	nan
0	14	499.949448	51.919020	12.349681	5.237856	46.469314	1384.767212	498.675851	51.014953	13.326899	5.204889	47.536480	1368.587525	21.109543	0.010299	0.965683	137	1.016935	0.111761	0.658539	c	495.516442	53.710727	4.153200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	-6.820854	-3.222749	0.804694	0.000000	0.000000	0.000000	-1	31.777915	14.392717	0.296589	2.175940	44.984301	52.856230	2.515181	8.590985	14.488793	8.423918	0.613671	2.799532	10.232160	5.984036	0.779172	3.015543	9.365027	4.349576	-0.102129	2.232123	11.511871	5.021281	0.408750	2.948469	nan	nan	nan	nan	40.227557	47.267089	2.515181	8.590985	-0.085283	0.000193	0.022961	-0.183715	-0.220892	0.044282	0.504675	0.313745	0.128424	0.018918	-0.351348	-0.055885	-0.094218	-0.021827	0.249250	0.196598	nan	nan	nan	nan	-0.174283	-0.016201	0.229757	0.082362	-inf	nan	nan	nan
0	15	538.006299	174.027159	3.540782	-7.568217	37.299184	976.867245	537.790490	174.081601	2.892157	-7.560639	39.074100	1086.772976	19.201288	0.001592	0.995797	107	0.912164	-0.047253	0.726416	b	535.792147	173.270603	2.156639	546.893939	158.196970	18.308312	52.593687	1842.386348	24.650796	0.004514	0.996464	146	0.953181	0.189975	-7.139712	-0.836429	0.970211	-7.155138	-0.632425	0.975203	8	26.072186	10.231638	0.038639	2.183559	48.608042	53.080742	1.998624	5.979431	11.994069	6.509638	0.589134	2.910951	8.394713	4.763497	0.552284	2.377774	10.168307	4.371198	-0.314543	2.157705	8.779034	4.553880	0.358756	2.249381	20.000654	6.606238	-0.052695	2.996697	50.960042	55.649163	1.998624	5.979431	-0.107454	-0.042489	0.065463	0.096027	-0.266705	0.061087	0.693871	0.134575	0.219315	0.047774	-0.553978	-0.038816	-0.222320	0.051027	0.577922	-0.015597	-0.018409	-0.205705	0.098088	0.762740	-0.223542	-0.099069	0.328684	0.487427	-inf	nan	nan	nan
0	16	461.236163	173.123613	-5.619080	4.404733	38.392387	1074.605987	461.055200	173.081171	3.914998	-5.656956	40.216623	1188.341850	19.923569	0.001019	0.995571	112	0.913825	0.268962	0.736566	b	462.227979	173.209319	1.179759	476.041667	162.684524	18.239640	55.727081	2022.256595	25.566438	0.004889	0.990754	160	0.993125	0.121112	-7.054130	-1.501600	0.948032	-7.299231	-0.737261	0.968416	17	36.280271	17.741016	0.161927	2.040733	49.975365	61.881250	2.260470	7.046834	12.033428	6.675429	0.637153	3.034105	8.332886	5.029818	0.623550	2.334136	11.257316	4.765351	-0.538303	2.221449	8.451184	4.970323	0.541280	2.259849	18.749690	6.694480	0.379294	3.192422	38.189808	47.287960	2.260470	7.046834	-0.156462	-0.012856	0.243282	0.263232	-0.272366	0.086141	0.735568	0.150374	0.236873	0.089264	-0.699841	0.076389	-0.259305	0.095194	0.710049	0.051315	-0.051974	-0.206336	0.366288	1.003955	-0.225831	-0.085833	0.347053	0.571265	-inf	nan	nan	nan
0	17	494.040754	147.863306	0.021386	-15.506834	54.053890	1879.498345	494.007438	147.937049	0.443210	15.246921	55.727081	2022.256595	25.566438	0.004889	0.990754	160	0.993125	0.121112	0.688606	m	491.345998	147.222672	2.755648	476.041667	162.684524	23.243428	40.216623	1188.341850	19.923569	0.001019	0.995571	112	0.913825	0.268962	-7.299231	-0.737261	0.968416	-7.054130	-1.501600	0.948032	16	33.655771	15.562595	0.111298	2.005818	47.951943	60.966683	2.721295	10.068763	16.130449	9.091996	0.616674	2.959996	11.182749	6.814245	0.613135	2.354520	13.040781	5.730403	-0.388953	2.211533	11.740348	6.421752	0.477540	2.368555	23.835951	8.755900	0.479691	3.027992	42.482289	54.012498	2.721295	10.068763	-0.103981	-0.031160	0.040505	0.044996	-0.265179	0.093547	0.656515	0.129914	0.187362	0.047853	-0.521449	0.088505	-0.210328	0.070875	0.557048	0.068171	-0.074821	-0.154423	0.497805	0.776427	-0.211868	-0.061016	0.292539	0.406892	-inf	nan	nan	nan
0	18	508.826972	79.158897	6.215988	-7.836994	34.659899	770.469260	508.897953	79.803621	6.437415	-3.695683	33.229701	753.813466	15.686783	0.006081	0.971551	99	1.000284	0.037555	0.632874	b	506.508227	81.211793	2.773759	498.279661	89.855932	14.621802	45.704627	1494.470287	22.206237	0.002016	0.995467	128	0.930537	0.222766	-6.973871	-1.511034	0.951413	-6.505364	-0.560435	0.987796	11	24.965970	10.393979	0.073497	1.871594	29.702296	24.239353	2.634753	9.962298	12.338810	6.545759	0.385904	2.471466	8.994876	4.083549	0.387446	2.875270	5.946033	3.236587	0.273652	2.182198	9.596594	3.629678	-0.114997	2.471274	13.473681	7.652837	0.468902	2.255008	28.607513	23.345927	2.634753	9.962298	-0.007689	0.039269	-0.006686	-0.078080	-0.027650	0.006644	0.078819	-0.064245	-0.049606	-0.020095	0.088409	0.085152	0.033797	-0.032832	-0.080242	0.079517	-0.137053	0.087991	0.279292	-0.127648	-0.022486	0.060562	0.049201	-0.106754	-inf	nan	nan	nan
0	19	542.292054	29.828539	-16.840265	-6.274548	62.254106	2485.308207	541.190048	23.884953	18.727719	-5.548103	63.686043	2455.227562	28.859182	0.014569	0.975906	187	1.040834	0.121704	0.631784	a	539.317003	22.648482	2.244361	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	-7.677305	-2.720431	0.743027	0.000000	0.000000	0.000000	-1	34.091859	15.006930	0.054899	2.451039	42.351768	49.879313	3.599890	16.297702	20.015861	10.960868	0.478053	2.760593	14.005948	8.017695	0.317530	2.144597	13.369269	6.489325	-0.210204	1.928826	14.464777	7.499973	0.274545	2.182215	nan	nan	nan	nan	37.498713	44.163682	3.599890	16.297702	-0.079479	-0.000642	0.008322	0.010832	-0.167037	0.135388	0.392824	-0.334714	0.129293	0.064896	-0.332581	-0.102185	-0.142368	0.082560	0.391133	-0.191745	nan	nan	nan	nan	-0.131688	-0.014151	0.144498	0.177933	-inf	nan	nan	nan
0	20	585.533340	50.852554	-3.384537	1.041749	12.267191	96.501597	586.396921	51.017203	0.214068	-2.521400	12.610417	110.240529	6.457098	0.012445	0.963671	40	1.053468	-0.234899	0.617874	c	586.173666	50.644101	0.434797	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	-6.315402	-5.242153	0.475505	0.000000	0.000000	0.000000	-1	12.905696	3.055019	0.946636	3.482710	23.749875	6.464817	0.329381	3.120780	5.148343	2.484897	0.246200	2.408437	3.749689	1.517007	-0.216781	2.164197	2.618280	1.302531	0.383589	2.115981	3.780438	1.502799	-0.247597	2.176660	nan	nan	nan	nan	30.038405	8.176582	0.329381	3.120780	-0.013334	0.011111	-0.049025	0.026797	-0.007731	-0.042816	-0.012754	0.065391	0.001861	-0.017834	-0.038707	-0.023678	-0.002571	-0.039536	0.015897	0.087841	nan	nan	nan	nan	-0.011432	-0.012322	-0.004206	-0.009992	-inf	nan	nan	nan
